epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1081.29,0.78193,0.84551,0.94684,0.94959,1,0.995,0.66443,1.24469,1.25732,1.12576,0.000416,0.000416,0.000416
62,1098.55,0.76951,0.93439,0.94581,0.94816,1,0.98786,0.69111,1.2023,1.25364,1.09907,0.0003896,0.0003896,0.0003896
63,1115.41,0.9021,0.95917,1.01242,0.95061,1,0.98786,0.66233,1.19674,1.24315,1.10305,0.0003632,0.0003632,0.0003632
64,1132.25,0.75789,0.90246,0.9427,0.95124,1,0.98786,0.65618,1.1929,1.23797,1.10255,0.0003368,0.0003368,0.0003368
65,1148.81,0.78976,0.93676,0.95996,0.95124,1,0.98786,0.65618,1.1929,1.23797,1.10255,0.0003104,0.0003104,0.0003104
66,1165.93,0.69344,1.19177,0.89946,0.95229,0.99802,0.99262,0.66273,1.18547,1.23194,1.10131,0.000284,0.000284,0.000284
67,1182.43,0.71699,1.28634,0.92997,0.95227,0.99759,0.99262,0.64347,1.20265,1.22559,1.10079,0.0002576,0.0002576,0.0002576
68,1198.97,0.67709,1.20337,0.88901,0.99015,0.95,0.99262,0.60435,1.2702,1.24055,1.12672,0.0002312,0.0002312,0.0002312
69,1215.58,0.72174,1.21159,0.88133,0.99015,0.95,0.99262,0.60435,1.2702,1.24055,1.12672,0.0002048,0.0002048,0.0002048
70,1232.48,0.75799,1.24475,0.89302,1,0.99074,0.995,0.61029,1.2752,1.24856,1.13603,0.0001784,0.0001784,0.0001784
71,1249.54,0.67672,1.18774,0.88472,1,0.9964,0.995,0.63872,1.21196,1.23512,1.11292,0.000152,0.000152,0.000152
72,1265.98,0.66666,1.16826,0.91598,0.99981,1,0.995,0.65282,1.16526,1.19316,1.09763,0.0001256,0.0001256,0.0001256
73,1282.6,0.6076,1.09185,0.85345,0.99981,1,0.995,0.65282,1.16526,1.19316,1.09763,9.92e-05,9.92e-05,9.92e-05
74,1299.53,0.61029,1.09557,0.87379,0.99655,1,0.995,0.6523,1.15574,1.18334,1.09003,7.28e-05,7.28e-05,7.28e-05
75,1316.11,0.59208,1.07554,0.84724,0.99557,1,0.995,0.65589,1.1549,1.16371,1.08771,4.64e-05,4.64e-05,4.64e-05
